,POSITION,HEARING,DISTRACTED,ELECT_USAGE
0,In the middle,Yes,No,Maybe
1,In the middle,Yes,Yes,Yes
2,In the back,Maybe,No,Yes
3,In the middle,Maybe,Yes,Yes
4,In the middle,Maybe,Maybe,Yes
5,In the middle,Yes,Yes,Maybe
6,In front,Yes,No,No
7,In front,Yes,Maybe,Yes
8,In the middle,Maybe,No,Maybe
9,In front,Maybe,Yes,Yes
10,In front,Yes,No,No
11,In front,Yes,Maybe,Maybe
12,In front,Yes,No,No
13,In the middle,No,Yes,Maybe
14,In the back,Yes,Maybe,Yes
15,In the middle,Maybe,No,Maybe
16,In front,No,Yes,Yes
17,In the back,No,Maybe,No
18,In the middle,Sometimes,Maybe,Yes
19,In the middle,Yes,Maybe,Yes
20,In front,Yes,Maybe,No
21,In the back,Sometimes,Maybe,Yes
22,In the back,Yes,Yes,Maybe
23,In the back,Sometimes,Maybe,Yes
24,In the middle,Sometimes,Yes,No
25,In the back,Sometimes,Yes,Maybe
26,In the middle,Yes,Sometimes,No
27,In front,Yes,Yes,No
28,In the middle,Sometimes,Sometimes,Yes
29,In front,Yes,Sometimes,Yes
30,In the middle,Yes,No,Yes
31,In front,Sometimes,Yes,Yes
32,In the middle,Yes,Sometimes,Maybe
33,In front,Yes,Yes,Maybe
34,In the back,Sometimes,Sometimes,Maybe
35,In front,Yes,Sometimes,Yes
36,In front,Yes,Sometimes,Maybe
37,In the back,Sometimes,Yes,Maybe
38,In the back,Sometimes,No,Yes
39,In front,Yes,Yes,Yes
40,In the middle,Sometimes,Yes,Yes
41,In the middle,Sometimes,Yes,Yes
42,In the middle,Yes,Sometimes,No
43,In front,Yes,Yes,No
44,In front,Yes,Sometimes,Maybe
45,In front,Yes,Sometimes,No
46,In front,Yes,Yes,Yes
47,In the middle,Sometimes,No,Yes
48,In front,Yes,Yes,No
49,In the middle,Yes,Sometimes,No
50,In the middle,Sometimes,Yes,No
51,In front,Yes,Yes,Maybe
52,In the middle,Sometimes,Yes,Maybe
53,In the middle,Sometimes,Yes,Maybe
54,In the back,Yes,Sometimes,No
55,In the middle,Yes,Sometimes,No
56,In the middle,Yes,Yes,Yes
57,In the back,Yes,Yes,No
58,In front,Yes,Sometimes,No
59,In the back,Sometimes,Sometimes,Yes
60,In front,Yes,No,Maybe
61,In the back,Yes,Sometimes,Yes
62,In the back,Sometimes,No,Yes
63,In the back,Sometimes,Sometimes,Yes
64,In the back,Sometimes,No,Yes
65,In the middle,Yes,Sometimes,No
66,In the middle,Sometimes,Yes,Maybe
67,In the back,Yes,Sometimes,Maybe
68,In the middle,Yes,Yes,No
69,In the middle,Sometimes,Yes,Maybe
70,In the back,Sometimes,Yes,Yes
71,In the middle,Yes,Sometimes,No
72,In the back,Yes,Sometimes,Yes
73,In front,Yes,Sometimes,Maybe
74,In the middle,Yes,Yes,No
