t;T
[s];[°C]

0,0;269,5
1,0;270,2
2,0;269,9
3,0;269,5
4,0;269,5
5,0;269,2
6,0;268,8
7,0;268,5
8,0;268,1
9,0;267,4
10,0;267,4
11,0;267,1
12,0;267,1
13,0;266,4
14,0;266,0
15,0;265,7
16,0;265,3
17,0;265,3
18,0;265,0
19,0;264,6
20,0;264,3
21,0;263,9
22,0;263,9
23,0;263,2
24,0;262,5
25,0;262,5
26,0;262,5
27,0;262,2
28,0;261,5
29,0;261,1
30,0;261,1
31,0;260,8
32,0;260,4
33,0;259,7
34,0;259,3
35,0;259,0
36,0;258,6
37,0;258,3
38,0;257,9
39,0;257,2
40,0;256,9
41,0;256,5
42,0;256,5
43,0;256,5
44,0;255,8
45,0;255,5
46,0;255,1
47,0;254,4
48,0;254,1
49,0;253,7
50,0;253,7
51,0;253,4
52,0;253,0
53,0;252,6
54,0;251,9
55,0;251,9
56,0;251,6
57,0;251,2
58,0;250,5
59,0;250,5
60,0;249,8
61,0;249,8
62,0;249,1
63,0;249,1
64,0;249,1
65,0;248,4
66,0;248,0
67,0;247,3
68,0;247,0
69,0;246,6
70,0;246,6
71,0;246,3
72,0;245,6
73,0;245,2
74,0;245,2
75,0;244,5
76,0;244,1
77,0;243,8
78,0;243,4
79,0;243,4
80,0;243,1
81,0;242,4
82,0;242,0
83,0;241,7
84,0;241,6
85,0;241,3
86,0;241,3
87,0;240,6
88,0;240,6
89,0;239,9
90,0;239,5
91,0;239,2
92,0;239,2
93,0;238,5
94,0;238,1
95,0;237,7
96,0;237,4
97,0;237,4
98,0;236,7
99,0;236,3
100,0;236,0
101,0;236,0
102,0;235,6
103,0;235,3
104,0;234,9
105,0;234,2
106,0;234,2
107,0;234,2
108,0;233,8
109,0;233,5
110,0;233,5
111,0;233,1
112,0;232,8
113,0;232,4
114,0;232,0
115,0;232,0
116,0;231,7
117,0;231,3
118,0;230,6
119,0;230,6
120,0;230,3
121,0;229,5
122,0;229,5
123,0;229,2
124,0;228,8
125,0;228,5
126,0;228,5
127,0;227,8
128,0;227,0
129,0;227,4
130,0;226,7
131,0;226,7
132,0;226,3
133,0;226,0
134,0;226,0
135,0;225,6
136,0;225,3
137,0;224,9
138,0;224,2
139,0;224,2
140,0;223,8
141,0;223,8
142,0;223,5
143,0;223,1
144,0;223,1
145,0;222,4
146,0;222,1
147,0;222,1
148,0;221,7
149,0;221,3
150,0;221,3
151,0;220,6
152,0;220,3
153,0;219,9
154,0;219,9
155,0;219,9
156,0;219,5
157,0;219,2
158,0;219,2
159,0;218,5
160,0;218,5
161,0;218,1
162,0;217,8
163,0;217,4
164,0;217,0
165,0;217,0
166,0;216,7
167,0;216,3
168,0;216,3
169,0;216,0
170,0;215,2
171,0;215,2
172,0;214,5
173,0;214,5
174,0;214,5
175,0;213,8
176,0;213,8
177,0;213,5
178,0;213,1
179,0;212,8
180,0;212,7
181,0;212,4
182,0;212,0
183,0;211,3
184,0;211,0
185,0;211,0
186,0;211,0
187,0;211,0
188,0;210,6
189,0;209,9
190,0;209,5
191,0;209,2
192,0;209,2
193,0;208,8
194,0;208,8
195,0;208,1
196,0;207,7
197,0;207,7
198,0;207,4
199,0;207,4
200,0;207,0
201,0;206,3
202,0;206,3
203,0;206,3
204,0;205,6
205,0;205,6
206,0;205,6
207,0;205,2
208,0;205,2
209,0;204,8
210,0;204,8
211,0;204,5
212,0;204,1
213,0;203,8
214,0;203,4
215,0;202,7
216,0;203,0
217,0;202,7
218,0;202,3
219,0;202,0
220,0;202,0
221,0;202,3
222,0;201,2
223,0;200,9
224,0;200,5
225,0;200,2
226,0;200,2
227,0;199,8
228,0;199,4
229,0;199,4
230,0;198,7
231,0;198,4
232,0;198,4
233,0;198,4
234,0;198,0
235,0;198,0
236,0;197,6
237,0;196,9
238,0;196,9
