t;T;T
[s];[°C];[°C]
;;
0;275,7;275,7
1;275,7;275,7
2;277,4;277,4
3;277,4;277,4
4;276,4;276,4
5;276,4;276,4
6;277,8;277,8
7;277,8;277,8
8;278,5;278,5
9;278,5;278,5
10;278,5;278,5
11;278,5;278,5
12;278,8;278,8
13;278,8;278,8
14;278,8;278,8
15;278,8;278,8
16;279,5;279,5
17;279,5;279,5
18;278,8;278,8
19;278,8;278,8
20;278,8;278,8
21;278,8;278,8
22;278,8;278,8
23;278,8;278,8
24;278,5;278,5
25;278,5;278,5
26;278,8;278,8
27;278,8;278,8
28;278,5;278,5
29;278,5;278,5
30;278,5;278,5
31;278,5;278,5
32;278,1;278,1
33;278,1;278,1
34;277,8;277,8
35;277,8;277,8
36;277,8;277,8
37;277,8;277,8
38;277,4;277,4
39;277,4;277,4
40;277,1;277,1
41;277,1;277,1
42;277,1;277,1
43;277,1;277,1
44;276,7;276,7
45;276,7;276,7
46;276,7;276,7
47;276,7;276,7
48;276,7;276,7
49;276,7;276,7
50;276,4;276,4
51;276,4;276,4
52;276;276
53;276;276
54;276;276
55;276;276
56;275,3;275,3
57;275,3;275,3
58;275;275
59;275;275
60;275;275
61;275;275
62;274,6;274,6
63;274,6;274,6
64;274,3;274,3
65;274,3;274,3
66;273,6;273,6
67;273,6;273,6
68;273,6;273,6
69;273,6;273,6
70;273,2;273,2
71;273,2;273,2
72;272,9;272,9
73;272,9;272,9
74;272,5;272,5
75;272,5;272,5
76;272,2;272,2
77;272,2;272,2
78;271,5;271,5
79;271,5;271,5
80;271,1;271,1
81;271,1;271,1
82;271,1;271,1
83;271,1;271,1
84;270,8;270,8
85;270,8;270,8
86;270,1;270,1
87;270,1;270,1
88;269,7;269,7
89;269,7;269,7
90;269,4;269,4
91;269,4;269,4
92;269,4;269,4
93;269,4;269,4
94;269;269
95;269;269
96;268,3;268,3
97;268,3;268,3
98;268;268
99;268;268
100;267,6;267,6
101;267,6;267,6
102;267,6;267,6
103;267,6;267,6
104;266,9;266,9
105;266,9;266,9
106;266,6;266,6
107;266,6;266,6
108;265,9;265,9
109;265,9;265,9
110;265,9;265,9
111;265,9;265,9
112;265,2;265,2
113;265,2;265,2
114;264,8;264,8
115;264,8;264,8
116;264,5;264,5
117;264,5;264,5
118;264,1;264,1
119;264,1;264,1
120;263,8;263,8
121;263,8;263,8
122;263,8;263,8
123;263,8;263,8
124;263,1;263,1
125;263,1;263,1
126;262,4;262,4
127;262,4;262,4
128;262,4;262,4
129;262,4;262,4
130;262;262
131;262;262
132;261,3;261,3
133;261,3;261,3
134;260,9;260,9
135;260,9;260,9
136;260,9;260,9
137;260,9;260,9
138;260,6;260,6
139;260,6;260,6
140;259,9;259,9
141;259,9;259,9
142;260,2;260,2
143;260,2;260,2
144;259,5;259,5
145;259,5;259,5
146;259,2;259,2
147;259,2;259,2
148;258,8;258,8
149;258,8;258,8
150;258,5;258,5
151;258,5;258,5
152;257,8;257,8
153;257,8;257,8
154;257,4;257,4
155;257,4;257,4
156;257,1;257,1
157;257,1;257,1
158;256,7;256,7
159;256,7;256,7
160;256;256
161;256;256
162;255,6;255,6
163;255,6;255,6
164;255,3;255,3
165;255,3;255,3
166;254,9;254,9
167;254,9;254,9
168;254,9;254,9
169;254,9;254,9
170;254,2;254,2
171;254,2;254,2
172;253,9;253,9
173;253,9;253,9
174;253,5;253,5
175;253,5;253,5
176;253,5;253,5
177;253,5;253,5
