t;T
[s];[°C]

0,0;283,1
1,0;285,2
2,0;284,9
3,0;284,9
4,0;284,5
5,0;283,8
6,0;283,8
7,0;283,1
8,0;283,1
9,0;282,8
10,0;282,8
11,0;282,5
12,0;281,7
13,0;281,4
14,0;281,4
15,0;280,7
16,0;280,3
17,0;279,6
18,0;279,6
19,0;279,3
20,0;278,6
21,0;278,3
22,0;277,9
23,0;277,5
24,0;277,2
25,0;276,9
26,0;276,5
27,0;276,1
28,0;276,2
29,0;275,4
30,0;275,1
31,0;274,7
32,0;274,4
33,0;274,1
34,0;273,4
35,0;273,0
36,0;272,7
37,0;272,3
38,0;272,0
39,0;271,3
40,0;270,9
41,0;270,9
42,0;269,8
43,0;269,8
44,0;269,5
45,0;268,8
46,0;268,8
47,0;268,1
48,0;267,7
49,0;267,4
50,0;267,0
51,0;266,3
52,0;266,0
53,0;265,6
54,0;265,6
55,0;265,3
56,0;264,6
57,0;263,9
58,0;263,9
59,0;263,5
60,0;262,8
61,0;262,5
62,0;262,1
63,0;262,1
64,0;261,7
65,0;261,4
66,0;260,7
67,0;260,7
68,0;260,3
69,0;260,0
70,0;259,3
71,0;258,9
72,0;258,6
73,0;258,2
74,0;257,5
75,0;257,2
76,0;256,8
77,0;256,5
78,0;256,1
79,0;255,7
80,0;255,4
81,0;255,0
82,0;254,3
83,0;254,0
84,0;254,0
85,0;253,3
86,0;253,3
87,0;252,6
88,0;252,2
89,0;251,5
90,0;251,5
91,0;251,1
92,0;250,8
93,0;250,4
94,0;250,1
95,0;249,7
96,0;249,4
97,0;248,7
98,0;248,3
99,0;248,0
100,0;247,6
101,0;247,2
102,0;246,9
103,0;246,5
104,0;246,2
105,0;245,8
106,0;245,5
107,0;244,8
108,0;244,8
109,0;244,4
110,0;244,0
111,0;243,3
112,0;243,0
113,0;242,6
114,0;242,6
115,0;242,3
116,0;241,6
117,0;241,2
118,0;241,2
119,0;240,8
120,0;240,1
121,0;239,8
122,0;239,4
123,0;239,1
124,0;239,1
125,0;238,4
126,0;238,0
127,0;237,3
128,0;237,3
129,0;237,3
130,0;236,9
131,0;236,6
132,0;235,9
133,0;235,5
134,0;235,5
135,0;234,8
136,0;234,4
137,0;234,1
138,0;233,7
139,0;233,7
140,0;233,4
141,0;233,0
142,0;232,6
143,0;232,3
144,0;232,3
145,0;231,9
146,0;231,6
147,0;231,2
148,0;230,9
149,0;230,5
150,0;230,1
151,0;229,8
152,0;229,4
153,0;229,1
154,0;228,7
155,0;228,4
156,0;228,4
157,0;228,0
158,0;227,3
159,0;226,9
160,0;226,6
161,0;226,6
162,0;226,2
163,0;225,9
164,0;225,5
165,0;225,1
166,0;225,1
167,0;224,8
168,0;224,4
169,0;223,7
170,0;223,7
171,0;223,3
172,0;223,0
173,0;223,0
174,0;222,6
175,0;222,3
176,0;221,9
177,0;221,5
178,0;221,2
179,0;220,8
180,0;220,5
181,0;220,1
182,0;219,7
183,0;219,7
184,0;219,4
185,0;219,4
186,0;218,7
187,0;218,7
188,0;217,9
189,0;217,9
190,0;217,9
191,0;217,6
192,0;216,9
193,0;216,5
194,0;216,5
195,0;216,2
196,0;215,8
197,0;215,4
198,0;215,1
199,0;214,7
200,0;214,4
201,0;214,0
202,0;214,0
203,0;214,0
204,0;213,6
205,0;212,9
206,0;212,6
207,0;212,6
208,0;212,2
209,0;212,2
210,0;211,8
211,0;211,8
212,0;211,1
213,0;210,8
214,0;210,4
215,0;210,4
216,0;209,7
217,0;209,3
218,0;209,3
219,0;208,6
220,0;208,6
221,0;208,6
222,0;208,2
223,0;207,9
224,0;207,9
225,0;207,5
226,0;207,2
227,0;206,8
228,0;206,8
229,0;206,4
230,0;205,7
231,0;205,3
232,0;205,4
233,0;205,0
234,0;205,0
235,0;205,0
236,0;204,6
237,0;204,3
238,0;203,9
