t;T;T
[s];[°C];[°C]

0,0;270,4;270,4
1,0;270,4;270,4
2,0;271,8;271,8
3,0;271,8;271,8
4,0;272,2;272,2
5,0;272,2;272,2
6,0;272,2;272,2
7,0;272,2;272,2
8,0;272,2;272,2
9,0;272,2;272,2
10,0;272,2;272,2
11,0;272,2;272,2
12,0;272,2;272,2
13,0;272,2;272,2
14,0;272,2;272,2
15,0;272,2;272,2
16,0;272,6;272,6
17,0;272,6;272,6
18,0;272,6;272,6
19,0;272,6;272,6
20,0;272,2;272,2
21,0;272,2;272,2
22,0;272,6;272,6
23,0;272,6;272,6
24,0;272,6;272,6
25,0;272,6;272,6
26,0;272,9;272,9
27,0;272,9;272,9
28,0;272,9;272,9
29,0;272,9;272,9
30,0;272,9;272,9
31,0;272,9;272,9
32,0;272,9;272,9
33,0;272,9;272,9
34,0;272,9;272,9
35,0;272,9;272,9
36,0;272,9;272,9
37,0;272,9;272,9
38,0;272,9;272,9
39,0;272,9;272,9
40,0;273,3;273,3
41,0;273,3;273,3
42,0;273,3;273,3
43,0;273,3;273,3
44,0;273,2;273,2
45,0;273,2;273,2
46,0;273,3;273,3
47,0;273,3;273,3
48,0;271,5;271,5
49,0;271,5;271,5
50,0;271,1;271,1
51,0;271,1;271,1
52,0;272,2;272,2
53,0;272,2;272,2
54,0;273,3;273,3
55,0;273,3;273,3
56,0;273,3;273,3
57,0;273,3;273,3
58,0;273,3;273,3
59,0;273,3;273,3
60,0;273,3;273,3
61,0;273,3;273,3
62,0;273,3;273,3
63,0;273,3;273,3
64,0;273,3;273,3
65,0;273,3;273,3
66,0;273,3;273,3
67,0;273,3;273,3
68,0;272,9;272,9
69,0;272,9;272,9
70,0;272,9;272,9
71,0;272,9;272,9
72,0;272,6;272,6
73,0;272,6;272,6
74,0;272,6;272,6
75,0;272,6;272,6
76,0;272,6;272,6
77,0;272,6;272,6
78,0;272,2;272,2
79,0;272,2;272,2
80,0;271,9;271,9
81,0;271,9;271,9
82,0;271,1;271,1
83,0;271,1;271,1
84,0;271,1;271,1
85,0;271,1;271,1
86,0;270,8;270,8
87,0;270,8;270,8
88,0;270,8;270,8
89,0;270,8;270,8
90,0;270,1;270,1
91,0;270,1;270,1
92,0;270,4;270,4
93,0;270,4;270,4
94,0;269,7;269,7
95,0;269,7;269,7
96,0;269,4;269,4
97,0;269,4;269,4
98,0;269,0;269,0
99,0;269,0;269,0
100,0;268,7;268,7
101,0;268,7;268,7
102,0;268,3;268,3
103,0;268,3;268,3
104,0;268,0;268,0
105,0;268,0;268,0
106,0;267,6;267,6
107,0;267,6;267,6
108,0;267,3;267,3
109,0;267,3;267,3
110,0;266,9;266,9
111,0;266,9;266,9
112,0;266,6;266,6
113,0;266,6;266,6
114,0;266,2;266,2
115,0;266,2;266,2
116,0;266,2;266,2
117,0;266,2;266,2
118,0;265,5;265,5
119,0;265,5;265,5
120,0;265,5;265,5
121,0;265,5;265,5
122,0;265,2;265,2
123,0;265,2;265,2
124,0;264,5;264,5
125,0;264,5;264,5
126,0;264,1;264,1
127,0;264,1;264,1
128,0;263,8;263,8
129,0;263,8;263,8
130,0;263,8;263,8
131,0;263,8;263,8
132,0;263,1;263,1
133,0;263,1;263,1
134,0;262,4;262,4
135,0;262,4;262,4
136,0;262,0;262,0
137,0;262,0;262,0
138,0;262,0;262,0
139,0;262,0;262,0
140,0;262,0;262,0
141,0;262,0;262,0
142,0;261,6;261,6
